congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
88,House,100,Democrat,262,-0.3275,0.324,-0.2920458015267176,0.38387786259541984
88,House,200,Republican,181,0.25,-0.187,0.25601657458563537,-0.21572928176795578
88,Senate,100,Democrat,69,-0.311,0.31,-0.2911739130434782,0.34088405797101445
88,Senate,200,Republican,33,0.232,-0.434,0.27842424242424246,-0.42957575757575756
89,President,100,Democrat,1,-0.337,-0.035,-0.337,-0.035
89,House,100,Democrat,301,-0.327,0.229,-0.3007641196013289,0.3066976744186046
89,House,200,Republican,143,0.243,-0.192,0.24582517482517485,-0.20940559440559442
89,Senate,100,Democrat,70,-0.316,0.31,-0.2972714285714285,0.3352571428571428
89,Senate,200,Republican,33,0.308,-0.418,0.27957575757575753,-0.3882424242424242
90,President,100,Democrat,1,-0.337,-0.035,-0.337,-0.035
90,House,100,Democrat,250,-0.3425,0.2365,-0.29552,0.317728
90,House,200,Republican,189,0.241,-0.157,0.243026455026455,-0.19259259259259262
90,Senate,100,Democrat,64,-0.312,0.31,-0.29890625,0.34143749999999995
90,Senate,200,Republican,37,0.275,-0.434,0.253,-0.4267837837837838
91,President,200,Republican,1,0.552,-0.834,0.552,-0.834
91,House,100,Democrat,250,-0.3445,0.2275,-0.309768,0.28912800000000005
91,House,200,Republican,199,0.244,-0.13,0.25462311557788947,-0.1772814070351759
91,Senate,100,Democrat,58,-0.319,0.2545,-0.289051724137931,0.34600000000000003
91,Senate,200,Republican,44,0.273,-0.4435,0.25084090909090906,-0.4462045454545454
92,President,200,Republican,1,0.552,-0.834,0.552,-0.834
92,House,100,Democrat,259,-0.344,0.256,-0.31054826254826257,0.2947104247104247
92,House,200,Republican,185,0.246,-0.144,0.25439999999999996,-0.17674594594594595
92,Senate,100,Democrat,56,-0.31,0.27149999999999996,-0.28675,0.35578571428571426
92,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
92,Senate,200,Republican,45,0.271,-0.445,0.2332222222222222,-0.4587555555555555
92,Senate,328,Independent,1,0.092,0.968,0.092,0.968
93,President,200,Republican,2,0.529,-0.79,0.529,-0.79
93,House,100,Democrat,246,-0.3505,0.217,-0.3234674796747968,0.23640650406504068
93,House,200,Republican,195,0.25,-0.118,0.2609435897435897,-0.14995384615384616
93,House,329,Ind. Democrat,1,-0.418,-0.054,-0.418,-0.054
93,Senate,100,Democrat,57,-0.319,0.254,-0.3258421052631578,0.29577192982456135
93,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
93,Senate,200,Republican,43,0.278,-0.434,0.26483720930232557,-0.38372093023255816
93,Senate,328,Independent,1,0.092,0.968,0.092,0.968
94,President,200,Republican,1,0.506,-0.746,0.506,-0.746
94,House,100,Democrat,294,-0.3385,0.11649999999999999,-0.31528911564625856,0.14188095238095239
94,House,200,Republican,147,0.25,-0.118,0.26502721088435377,-0.17488435374149658
94,Senate,100,Democrat,61,-0.319,0.223,-0.3245409836065573,0.2748688524590164
94,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
94,Senate,200,Republican,38,0.28049999999999997,-0.4175,0.2708421052631579,-0.37828947368421056
94,Senate,328,Independent,1,0.092,0.968,0.092,0.968
95,President,100,Democrat,1,-0.504,0.119,-0.504,0.119
95,House,100,Democrat,294,-0.3235,0.111,-0.30591496598639456,0.11869047619047618
95,House,200,Republican,147,0.262,-0.132,0.26716326530612244,-0.1783877551020408
95,Senate,100,Democrat,65,-0.329,0.31,-0.31964615384615386,0.29378461538461537
95,Senate,200,Republican,38,0.2935,-0.4605,0.26902631578947367,-0.4055789473684211
95,Senate,328,Independent,1,0.092,0.968,0.092,0.968
96,President,100,Democrat,1,-0.504,0.119,-0.504,0.119
96,House,100,Democrat,281,-0.321,0.094,-0.30133451957295376,0.10965480427046263
96,House,200,Republican,161,0.281,-0.154,0.29479503105590066,-0.17837888198757765
96,Senate,100,Democrat,59,-0.319,0.209,-0.312864406779661,0.26228813559322034
96,Senate,200,Republican,41,0.275,-0.445,0.2766341463414634,-0.3949756097560975
96,Senate,328,Independent,1,0.092,0.968,0.092,0.968
97,President,200,Republican,1,0.692,-0.713,0.692,-0.713
97,House,100,Democrat,247,-0.32,0.07,-0.3004291497975709,0.0921174089068826
97,House,200,Republican,196,0.307,-0.169,0.30653061224489797,-0.19857653061224492
97,House,328,Independent,1,-0.506,-0.057,-0.506,-0.057
97,Senate,100,Democrat,46,-0.314,0.311,-0.2993043478260869,0.2607608695652174
97,Senate,200,Republican,54,0.294,-0.313,0.31055555555555553,-0.3167777777777778
97,Senate,328,Independent,1,0.092,0.968,0.092,0.968
98,President,200,Republican,1,0.692,-0.713,0.692,-0.713
98,House,100,Democrat,272,-0.317,0.049,-0.3017573529411765,0.07079779411764706
98,House,200,Republican,168,,,0.3256826347305389,-0.20650299401197608
98,Senate,100,Democrat,46,-0.314,0.2595,-0.3013260869565217,0.24667391304347822
98,Senate,200,Republican,55,0.283,-0.279,0.3073818181818182,-0.30292727272727277
99,President,200,Republican,1,0.692,-0.713,0.692,-0.713
99,House,100,Democrat,257,-0.32,0.058,-0.3094980544747082,0.0818715953307393
99,House,200,Republican,182,0.344,-0.20650000000000002,0.33379120879120877,-0.2121813186813187
99,Senate,100,Democrat,47,-0.322,0.155,-0.3055957446808511,0.21527659574468083
99,Senate,200,Republican,54,0.281,-0.267,0.31416666666666665,-0.2841296296296296
100,President,200,Republican,1,0.692,-0.713,0.692,-0.713
100,House,100,Democrat,262,-0.32,0.049,-0.3092709923664122,0.08523664122137403
100,House,200,Republican,179,0.346,-0.221,0.335340782122905,-0.23275977653631286
100,Senate,100,Democrat,55,-0.313,0.137,-0.2943636363636364,0.20025454545454538
100,Senate,200,Republican,46,0.3025,-0.30800000000000005,0.31406521739130433,-0.33358695652173914
101,President,200,Republican,1,0.557,-0.547,0.557,-0.547
101,House,100,Democrat,265,-0.32,0.012,-0.312988679245283,0.08142264150943397
101,House,200,Republican,180,0.344,-0.225,0.33964444444444447,-0.24771666666666667
101,Senate,100,Democrat,56,-0.306,0.031,-0.2934285714285715,0.12326785714285712
101,Senate,200,Republican,46,0.316,-0.30000000000000004,0.32302173913043475,-0.3009347826086956
102,President,200,Republican,1,0.557,-0.547,0.557,-0.547
102,House,100,Democrat,270,-0.32,0.0115,-0.3141407407407407,0.08086296296296298
102,House,200,Republican,170,0.3495,-0.2115,0.34473529411764703,-0.22882352941176473
102,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
102,Senate,100,Democrat,58,-0.311,0.01,-0.29917241379310344,0.10601724137931035
102,Senate,200,Republican,44,0.307,-0.3015,0.3198181818181818,-0.30570454545454545
103,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
103,House,100,Democrat,266,,,-0.333824427480916,0.06990076335877862
103,House,200,Republican,180,0.377,-0.1435,0.37097222222222226,-0.18104444444444445
103,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
103,Senate,100,Democrat,57,-0.309,-0.012,-0.29629824561403506,0.07417543859649121
103,Senate,200,Republican,45,0.346,-0.275,0.33766666666666667,-0.26699999999999996
104,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
104,House,100,Democrat,208,-0.3805,-0.0055,-0.36125480769230767,0.06253846153846156
104,House,200,Republican,236,0.3845,-0.0905,0.3966101694915254,-0.1175084745762712
104,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
104,Senate,100,Democrat,48,-0.3085,-0.0485,-0.30175,0.00827083333333333
104,Senate,200,Republican,55,0.361,-0.234,0.351109090909091,-0.2315272727272727
105,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
105,House,100,Democrat,212,-0.3835,-0.03,-0.37556603773584907,0.03647169811320755
105,House,200,Republican,231,0.39,-0.053,0.4015541125541125,-0.07352380952380952
105,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
105,Senate,100,Democrat,45,-0.308,-0.067,-0.31035555555555555,-0.049600000000000005
105,Senate,200,Republican,55,0.381,-0.181,0.3737636363636364,-0.1769454545454545
106,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
106,House,100,Democrat,213,-0.384,-0.026,-0.3727887323943663,0.04472300469483568
106,House,200,Republican,225,0.391,-0.026,0.4040222222222222,-0.056728888888888884
106,House,328,Independent,2,0.01849999999999996,0.05600000000000002,0.01849999999999996,0.05600000000000002
106,Senate,100,Democrat,46,-0.302,-0.0855,-0.2946521739130434,-0.06299999999999999
106,Senate,200,Republican,56,0.3735,-0.188,0.36391071428571425,-0.21801785714285712
107,President,200,Republican,1,0.693,-0.539,0.693,-0.539
107,House,100,Democrat,214,-0.3845,-0.0325,-0.37671495327102805,0.04034112149532711
107,House,200,Republican,228,0.4025,0.010499999999999999,0.409640350877193,-0.027280701754385964
107,House,328,Independent,2,0.01849999999999996,0.05600000000000002,0.01849999999999996,0.05600000000000002
107,Senate,100,Democrat,50,-0.3085,-0.079,-0.29468,-0.04152
107,Senate,200,Republican,50,0.3815,-0.1295,0.36886,-0.19444000000000003
107,Senate,328,Independent,2,,,-0.277,-0.603
108,President,200,Republican,1,0.693,-0.539,0.693,-0.539
108,House,100,Democrat,208,-0.3825,-0.036000000000000004,-0.3762115384615385,0.04825480769230771
108,House,200,Republican,231,0.403,0.022,0.41674891774891776,-0.008445887445887442
108,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
108,Senate,100,Democrat,48,-0.309,-0.079,-0.2918958333333333,-0.040895833333333305
108,Senate,200,Republican,51,0.364,-0.128,0.3576274509803922,-0.1883529411764706
108,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
109,President,200,Republican,1,0.693,-0.539,0.693,-0.539
109,House,100,Democrat,203,-0.392,-0.04,-0.3871527093596059,0.03153694581280789
109,House,200,Republican,236,,,0.42276170212765957,0.000455319148936173
109,House,328,Independent,1,-0.546,-0.429,-0.546,-0.429
109,Senate,100,Democrat,45,-0.326,-0.128,-0.3077333333333333,-0.0987111111111111
109,Senate,200,Republican,55,0.381,-0.121,0.37794545454545464,-0.16385454545454547
109,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
110,President,200,Republican,1,0.693,-0.539,0.693,-0.539
110,House,100,Democrat,246,,,-0.3683251028806585,0.044415637860082305
110,House,200,Republican,207,,,0.4394417475728154,0.03187864077669903
110,Senate,100,Democrat,50,-0.3135,-0.1235,-0.29494,-0.08492000000000001
110,Senate,200,Republican,51,0.395,-0.11,0.3915686274509804,-0.14149019607843139
110,Senate,328,Independent,1,-0.546,-0.429,-0.546,-0.429
111,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
111,House,100,Democrat,269,,,-0.3488566037735849,0.03838490566037736
111,House,200,Republican,183,0.446,0.061,0.45620218579234967,0.035295081967213114
111,House,328,Independent,2,,,,
111,Senate,100,Democrat,66,-0.3165,-0.10650000000000001,-0.3085151515151515,-0.07021212121212121
111,Senate,200,Republican,44,0.3985,-0.065,0.39675,-0.11872727272727274
111,Senate,328,Independent,1,-0.546,-0.429,-0.546,-0.429
112,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
112,House,100,Democrat,200,-0.3995,-0.078,-0.39329499999999995,-0.032029999999999996
112,House,200,Republican,245,0.467,0.06,0.4672081632653061,0.040069387755102034
112,Senate,100,Democrat,53,-0.319,-0.126,-0.30018867924528303,-0.06949056603773585
112,Senate,200,Republican,48,0.413,-0.065,0.44385416666666666,-0.08464583333333335
112,Senate,328,Independent,1,-0.546,-0.429,-0.546,-0.429
113,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
113,House,100,Democrat,204,-0.3935,-0.078,-0.38441176470588245,-0.06879901960784314
113,House,200,Republican,240,0.49,0.088,0.4817,0.05191666666666665
113,Senate,100,Democrat,57,-0.335,-0.128,-0.32585964912280707,-0.08056140350877194
113,Senate,200,Republican,46,0.425,-0.0075,0.4698695652173913,-0.03791304347826086
113,Senate,328,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
114,President,100,Democrat,1,-0.358,-0.197,-0.358,-0.197
114,House,100,Democrat,190,-0.396,-0.078,-0.39448421052631577,-0.07631052631578948
114,House,200,Republican,251,0.49,0.077,0.4799362549800797,0.04799601593625498
114,Senate,100,Democrat,44,-0.3365,-0.154,-0.33293181818181816,-0.12906818181818183
114,Senate,200,Republican,54,0.445,-0.028,0.4762592592592593,-0.04607407407407408
114,Senate,328,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
115,President,200.0,Republican,1,0.403,0.162,0.403,0.162
115,House,100.0,Democrat,200,-0.3925,-0.061,-0.38853000000000004,-0.054025
115,House,200.0,Republican,250,0.497,0.0805,0.48905200000000004,0.045032
115,Senate,100.0,Democrat,48,-0.339,-0.1405,-0.3349166666666667,-0.10920833333333334
115,Senate,200.0,Republican,55,0.461,-0.027,0.4869818181818182,-0.025636363636363627
115,Senate,328.0,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
116,President,200.0,Republican,1,0.403,0.162,0.403,0.162
116,House,100.0,Democrat,241,,,-0.371775,-0.0011708333333333338
116,House,200.0,Republican,208,0.5045,0.1125,0.5002403846153846,0.059326923076923076
116,House,328.0,Independent,2,,,0.359,-0.933
116,Senate,100.0,Democrat,46,-0.339,-0.1405,-0.3425869565217391,-0.12150000000000001
116,Senate,200.0,Republican,54,0.462,-0.014,0.4988148148148148,0.025740740740740748
116,Senate,328.0,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
117,President,100.0,Democrat,1,-0.32,0.283,-0.32,0.283
117,President,200.0,Republican,1,0.403,0.162,0.403,0.162
117,House,100.0,Democrat,232,-0.385,-0.0325,-0.3791896551724138,-0.03167672413793104
117,House,200.0,Republican,223,0.498,0.129,0.502609865470852,0.0657713004484305
117,Senate,100.0,Democrat,49,-0.343,-0.136,-0.3522653061224489,-0.1066530612244898
117,Senate,200.0,Republican,51,0.505,-0.017,0.5254509803921569,0.018921568627450983
117,Senate,328.0,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
118,President,100,Democrat,1,-0.32,0.283,-0.32,0.283
118,House,100,Democrat,221,-0.389,-0.049,-0.3841538461538461,-0.04352488687782805
118,House,200,Republican,230,0.504,0.1095,0.5080869565217391,0.05572608695652174
118,Senate,100,Democrat,52,-0.346,-0.1405,-0.350576923076923,-0.10526923076923077
118,Senate,200,Republican,49,0.536,0.028,0.5444897959183673,0.04342857142857143
118,Senate,328,Independent,4,-0.178,-0.3045,-0.2405,-0.25675000000000003
119,President,200,Republican,1,0.403,0.162,0.403,0.162
119,House,100,Democrat,222,-0.3955,-0.048,-0.3861756756756757,-0.041391891891891894
119,House,200,Republican,227,0.53,0.071,0.5236828193832599,0.05109251101321586
119,House,328,Independent,1,0.158,0.376,0.158,0.376
119,Senate,100,Democrat,45,-0.357,-0.136,-0.36699999999999994,-0.09104444444444443
119,Senate,200,Republican,57,0.558,0.082,0.5536491228070175,0.07805263157894739
119,Senate,328,Independent,2,-0.35800000000000004,-0.3045,-0.35800000000000004,-0.3045
